Index,Date,Legacy Fixtures (V1 Archive),Competition,Home,Away,FT_Score,Signal,Bookmaker,Odds,Conviction,Allocation,Settlement,Net_PnL,Commit_Hash,赛后结算,Line Mvmt,Metrics,Turnover,Cum PnL,实时 Yield%,ROI%,按钮,Markdown 生成
11,2026年7月7日,布洛马波卡纳vs哥德堡盖斯,SWE1 瑞典超,BPK 布鲁马波卡纳,GOT 哥德堡,,亚盘,,0.82,1% 稳健仓,1,Half Win,0.41,https://github.com/ethan-0625/predict-ledger/commit/d07d82b15400228ff9919e1a295c07653787be48,🔵 蓝色 (HW),阻下诱上,无,9,-4.72,-63.56%,-5.72,No,"2026-07-07,SWE1,BRO,GOT,Pending,亚盘,0.82,1,Half Win,0.41,https://github.com/ethan-0625/predict-ledger/commit/d07d82b15400228ff9919e1a295c07653787be48"
12,2026年7月7日,维拉诺瓦vs圣贝纳多,BRA2 巴西乙,VNO 维拉诺瓦,SBE 圣贝纳多,,欧赔,,1.94,1% 稳健仓,1,Win,0.94,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/d07d82b15400228ff9919e1a295c07653787be48,🟢 绿色 (W),阻下诱上,无,10,-3.78,-47.8%,-4.78,No,"2026-07-07,BRA2,VIL,SBE,Pending,欧赔,1.94,1,Win,0.94,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/d07d82b15400228ff9919e1a295c07653787be48"
13,2026年7月7日,保地花高SPvs奥瓦,BRA2 巴西乙,BSP 保地花高SP,AVA 奥瓦,,欧赔,,3.2,1% 稳健仓,1,Loss,-1,https://github.com/ethan-0625/predict-ledger/commit/d07d82b15400228ff9919e1a295c07653787be48,🔴 红色 (L),逆向撕裂,无,11,-4.78,-52.55%,-5.78,No,"2026-07-07,BRA2,BSP,AVA,Pending,欧赔,3.2,1,Loss,-1,https://github.com/ethan-0625/predict-ledger/commit/d07d82b15400228ff9919e1a295c07653787be48"
14,2026年7月7日,凯夫拉维克vs弗拉姆,ISL1 冰岛超,KEF 凯夫拉维克,FRA 弗拉姆,,欧赔,,1.82,1% 稳健仓,1,Loss,-1,https://github.com/ethan-0625/predict-ledger/commit/d07d82b15400228ff9919e1a295c07653787be48,🔴 红色 (L),大脑直觉模型,无,12,-5.78,-56.5%,-6.78,No,"2026-07-07,ISL1,KEF,FRA,Pending,欧赔,1.82,1,Loss,-1,https://github.com/ethan-0625/predict-ledger/commit/d07d82b15400228ff9919e1a295c07653787be48"
15,2026年7月7日,葡萄牙vs西班牙,WC 世界杯,POR 葡萄牙,ESP 西班牙,,欧赔,,1.97,1% 稳健仓,1,Win,0.97,https://github.com/ethan-0625/predict-ledger/commit/d07d82b15400228ff9919e1a295c07653787be48,🟢 绿色 (W),阻上诱下,拉锯均势死锁,13,-4.81,-44.69%,-5.81,No,"2026-07-07,WC,POR,ESP,Pending,欧赔,1.97,1,Win,0.97,https://github.com/ethan-0625/predict-ledger/commit/d07d82b15400228ff9919e1a295c07653787be48"
16,2026年7月7日,美国vs比利时,WC 世界杯,USA 美国,BEL 比利时,,欧赔,,2.44,1% 稳健仓,1,Loss,-1,https://github.com/ethan-0625/predict-ledger/commit/d07d82b15400228ff9919e1a295c07653787be48,🔴 红色 (L),逆向撕裂,无,14,-5.81,-48.64%,-6.81,No,"2026-07-07,WC,USA,BEL,Pending,欧赔,2.44,1,Loss,-1,https://github.com/ethan-0625/predict-ledger/commit/d07d82b15400228ff9919e1a295c07653787be48"
17,2026年7月8日,阿根廷vs埃及,WC 世界杯,ARG 阿根廷,EGY 埃及,,欧赔,,11.75,1% 稳健仓,1,Loss,-1,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/8f4d12d48dc6b61d2a6cbb9480dd671060de0e24,🔴 红色 (L),阻下诱上,无,15,-6.81,-52.07%,-7.81,No,"2026-07-08,WC,ARG,EGY,Pending,欧赔,11.75,1,Loss,-1,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/8f4d12d48dc6b61d2a6cbb9480dd671060de0e24"
18,2026年7月8日,弗洛里亚纳vs沙姆洛克流浪,UCLQ 欧冠预选,FLO 弗洛里亚纳,SHM 沙姆洛克流浪,,欧赔,,1.86,1% 稳健仓,1,Loss,-1,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/8f4d12d48dc6b61d2a6cbb9480dd671060de0e24,🔴 红色 (L),大脑直觉模型,无,16,-7.81,-55.06%,-8.81,No,"2026-07-08,UCLQ,FLO,SHA,Pending,欧赔,1.86,1,Loss,-1,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/8f4d12d48dc6b61d2a6cbb9480dd671060de0e24"
19,2026年7月8日,瑞士vs哥伦比亚,WC 世界杯,SUI 瑞士,COL 哥伦比亚,,欧赔,,3.11,1% 稳健仓,1,Win,3.11,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/8f4d12d48dc6b61d2a6cbb9480dd671060de0e24,🟢 绿色 (W),直觉-市场诱盘,无,17,-4.7,-33.53%,-5.7,No,"2026-07-08,WC,SUI,COL,Pending,欧赔,3.11,1,Win,3.11,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/8f4d12d48dc6b61d2a6cbb9480dd671060de0e24"
20,2026年7月8日,巴西竞技vs欧帕尔利奥,BRA2 巴西乙,ATC 巴西竞技,OPE 欧帕尔利奥,,欧赔,,2.93,1% 稳健仓,1,Loss,-1,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/8f4d12d48dc6b61d2a6cbb9480dd671060de0e24,🔴 红色 (L),阻下诱上,无,18,-5.7,-37.22%,-6.7,No,"2026-07-08,BRA2,ATC,OPE,Pending,欧赔,2.93,1,Loss,-1,https://github.com/ethan-0625/MCO-Sports-Alpha-Research/commit/8f4d12d48dc6b61d2a6cbb9480dd671060de0e24"
